exp,label,seed,n_train_cx,n_train_pairs,tau,top1,train_acc,val_acc,best_val_acc,best_epoch,overfit_gap,tau_ss_class_HELIX,top1_ss_class_HELIX,tau_ss_class_SHEET,top1_ss_class_SHEET,tau_ss_class_UNUSUAL,top1_ss_class_UNUSUAL,tau_length_bucket_long,top1_length_bucket_long,tau_length_bucket_medium,top1_length_bucket_medium,tau_length_bucket_short,top1_length_bucket_short,tau_length_bucket_very_long,top1_length_bucket_very_long
C_specialists,SHEET,2,69,13109,0.1804093567251462,4.2567611111111106,0.7085000276565552,0.590204656124115,0.590204656124115,4,0.11829537153244019,0.062280701754385964,4.051516666666667,0.2287081339712919,4.150663636363637,0.248582995951417,4.535992307692307,0.0907894736842105,5.0973500000000005,0.3140350877192983,3.14305,-0.0736842105263158,3.4913428571428575,0.27953216374269,5.589844444444444
C_specialists,SHEET,3,69,13109,0.18216374269005847,4.351877777777777,0.8870000243186951,0.5910818576812744,0.5910818576812744,47,0.29591816663742065,0.1614035087719298,4.095266666666666,0.2631578947368421,4.020872727272727,0.1327935222672065,4.86883076923077,0.07368421052631577,5.6667250000000005,0.3070175438596492,3.0538166666666666,-0.018045112781954895,3.6877,0.26783625730994154,5.430455555555556
C_specialists,SHEET,4,69,13109,0.21286549707602342,4.236675000000001,0.7889999747276306,0.6064327359199524,0.6064327359199524,10,0.18256723880767822,0.20087719298245618,3.754925,0.1875598086124402,4.237509090909091,0.24534412955465584,4.680661538461539,0.13421052631578945,5.0665000000000004,0.37368421052631584,3.006483333333333,-0.02556390977443611,3.725757142857143,0.25380116959064325,5.5366888888888885
C_specialists,UNUSUAL,0,67,12729,0.22953216374269006,4.185927777777777,0.7990000247955322,0.6147660613059998,0.6147660613059998,14,0.18423396348953247,0.17894736842105266,3.739266666666667,0.13971291866028707,4.267290909090909,0.3522267206477733,4.529384615384616,0.22368421052631582,5.026612500000001,0.3131578947368421,2.96645,-0.024060150375939848,3.3602142857142856,0.32046783625730996,5.706844444444444
C_specialists,UNUSUAL,1,67,12729,0.22192982456140353,4.358747222222222,0.8015000224113464,0.6109648942947388,0.6109648942947388,15,0.19053512811660767,0.16052631578947366,3.9032666666666658,0.12822966507177033,4.725027272727273,0.35789473684210527,4.469261538461539,0.20921052631578949,4.839725,0.3008771929824562,3.0524750000000007,-0.0030075187969924905,3.276871428571429,0.30292397660818715,6.514366666666666
D_mixture_ratios,B0%G100%,0,402,4020,0.2415204678362573,4.219147222222222,0.7379999756813049,0.6207602620124817,0.6207602620124817,28,0.11723971366882324,,,,,,,,,,,,,,
D_mixture_ratios,B0%G100%,1,402,4020,0.25672514619883047,4.208752777777778,0.7975000143051147,0.6283625960350037,0.6283625960350037,46,0.16913741827011108,,,,,,,,,,,,,,
D_mixture_ratios,B0%G100%,2,402,4020,0.2704678362573099,4.044013888888888,0.7885000109672546,0.6352339386940002,0.6352339386940002,44,0.1532660722732544,,,,,,,,,,,,,,
D_mixture_ratios,B0%G100%,3,402,4020,0.262280701754386,4.25186111111111,0.7804999947547913,0.6311403512954712,0.6311403512954712,38,0.14935964345932007,,,,,,,,,,,,,,
D_mixture_ratios,B0%G100%,4,402,4020,0.24269005847953215,4.1655444444444445,0.7975000143051147,0.621345043182373,0.621345043182373,49,0.1761549711227417,,,,,,,,,,,,,,
C_specialists,UNUSUAL,2,67,12729,0.19064327485380117,4.375358333333335,0.828000009059906,0.5953216552734375,0.5953216552734375,20,0.2326783537864685,0.12543859649122807,4.403158333333333,0.07846889952153109,4.457400000000001,0.345748987854251,4.280276923076924,0.15921052631578947,5.6991,0.23070175438596496,3.0582999999999996,0.03909774436090226,3.2119571428571425,0.28304093567251465,5.859644444444445
C_specialists,UNUSUAL,3,67,12729,0.23567251461988306,4.36818888888889,0.7950000166893005,0.6178362369537354,0.6178362369537354,10,0.17716377973556519,0.13333333333333333,4.053958333333333,0.17607655502392341,4.626372727272727,0.38056680161943324,4.439784615384616,0.1855263157894737,5.251275,0.28771929824561404,3.156416666666667,0.11278195488721805,3.0881000000000003,0.30643274853801167,6.1945444444444435
C_specialists,UNUSUAL,4,67,12729,0.18157894736842106,4.6902333333333335,0.8489999771118164,0.5907894968986511,0.5907894968986511,48,0.2582104802131653,0.09210526315789475,4.2893083333333335,0.07655502392344497,5.009554545454546,0.35303643724696354,4.790123076923077,0.06578947368421055,6.1564125,0.22017543859649122,3.332483333333333,0.10075187969924815,3.1252285714285715,0.29590643274853806,6.414522222222222
D_mixture_ratios,B25%G75%,0,453,13710,0.1976608187134503,4.333552777777777,0.8180000185966492,0.5988304018974304,0.5988304018974304,32,0.21916961669921875,,,,,,,,,,,,,,
D_mixture_ratios,B25%G75%,1,453,13709,0.22953216374269006,4.308491666666666,0.7670000195503235,0.6147660613059998,0.6147660613059998,19,0.15223395824432373,,,,,,,,,,,,,,
D_mixture_ratios,B25%G75%,2,453,13708,0.23830409356725152,4.279908333333332,0.8385000228881836,0.6191520690917969,0.6191520690917969,26,0.21934795379638672,,,,,,,,,,,,,,
D_mixture_ratios,B25%G75%,3,453,13710,0.2596491228070175,4.204466666666666,0.8374999761581421,0.6298245787620544,0.6298245787620544,29,0.20767539739608765,,,,,,,,,,,,,,
D_mixture_ratios,B25%G75%,4,453,13710,0.23801169590643279,4.087852777777778,0.8309999704360962,0.6190058588981628,0.6190058588981628,27,0.21199411153793335,,,,,,,,,,,,,,
D_mixture_ratios,B50%G50%,0,504,23399,0.24210526315789474,4.094499999999999,0.699999988079071,0.621052622795105,0.621052622795105,5,0.07894736528396606,,,,,,,,,,,,,,
D_mixture_ratios,B50%G50%,1,504,23399,0.2763157894736843,4.155597222222221,0.7684999704360962,0.6381579041481018,0.6381579041481018,19,0.13034206628799438,,,,,,,,,,,,,,
D_mixture_ratios,B50%G50%,2,504,23398,0.22046783625730995,4.391072222222222,0.8410000205039978,0.6102339029312134,0.6102339029312134,48,0.23076611757278442,,,,,,,,,,,,,,
D_mixture_ratios,B50%G50%,3,504,23399,0.25087719298245614,4.013177777777778,0.7524999976158142,0.6254385709762573,0.6254385709762573,12,0.12706142663955688,,,,,,,,,,,,,,
D_mixture_ratios,B50%G50%,4,504,23398,0.2964912280701754,4.035105555555555,0.8159999847412109,0.648245632648468,0.648245632648468,29,0.16775435209274292,,,,,,,,,,,,,,
D_mixture_ratios,B75%G25%,0,555,33088,0.2415204678362573,4.270352777777777,0.8399999737739563,0.6207602620124817,0.6207602620124817,49,0.2192397117614746,,,,,,,,,,,,,,
D_mixture_ratios,B75%G25%,1,555,33087,0.30818713450292395,4.0933666666666655,0.7354999780654907,0.6540935635566711,0.6540935635566711,13,0.08140641450881958,,,,,,,,,,,,,,
